average_time,weiht,appearances_counts,height,assist_num,num,goal_num,birth,appearance_time,name,img,is_star,team,position
71,78kg,3,1.8m,1,11号,0,1988/6/8,213,格罗西茨基,http://p1.img.cctvpic.com/sports/data/playerImageB/33689.png,0,波兰,中场
90,81kg,1,1.84m,0,4号,0,1986/4/21,90,乔内克,http://p1.img.cctvpic.com/sports/data/playerImageB/44932.png,0,波兰,后卫
85,78kg,2,1.81m,0,2号,0,1987/9/21,170,帕兹丹,http://p1.img.cctvpic.com/sports/data/playerImageB/35605.png,0,波兰,后卫
75,77kg,3,1.89m,0,5号,1,1996/4/12,225,贝德纳雷克,http://p1.img.cctvpic.com/sports/data/playerImageB/286085.png,0,波兰,后卫
86.5,79kg,2,1.84m,0,20号,0,1985/6/3,173,皮什切克,http://p1.img.cctvpic.com/sports/data/playerImageB/24829.png,0,波兰,后卫
56.33,72kg,3,1.82m,0,18号,0,1992/7/12,169,贝雷申斯基,http://p1.img.cctvpic.com/sports/data/playerImageB/109461.png,0,波兰,后卫
90,83kg,1,1.9m,0,22号,0,1985/4/18,90,法比安斯基,http://p1.img.cctvpic.com/sports/data/playerImageB/15479.png,0,波兰,守门员
90,84kg,2,1.96m,0,1号,0,1990/4/18,180,什琴斯尼,http://p1.img.cctvpic.com/sports/data/playerImageB/50490.png,0,波兰,守门员
0,83kg,0,1.94m,0,12号,0,1987/7/6,0,比亚尔科夫斯基,http://p1.img.cctvpic.com/sports/data/playerImageB/14328.png,0,波兰,守门员
90,79公斤,3,1.85米,0,9号,0,1988年8月21日,270,莱万多夫斯基,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527838558706_297.jpg,1,波兰,前锋
30,80kg,1,1.81m,0,15号,0,1994/6/9,30,菲舍尔,http://p1.img.cctvpic.com/sports/data/playerImageB/94287.png,0,丹麦,前锋
62.25,73kg,4,1.8m,0,11号,0,1991/6/5,249,布雷思韦特,http://p1.img.cctvpic.com/sports/data/playerImageB/66471.png,0,丹麦,前锋
70.67,86kg,3,1.94m,1,9号,0,1991/1/15,212,约根森,http://p1.img.cctvpic.com/sports/data/playerImageB/57857.png,0,丹麦,前锋
89.67,84kg,3,1.93m,0,20号,1,1994/6/15,269,鲍尔森,http://p1.img.cctvpic.com/sports/data/playerImageB/135264.png,0,丹麦,前锋
58,69kg,4,1.73m,0,23号,0,1995/2/4,232,西斯托,http://p1.img.cctvpic.com/sports/data/playerImageB/287943.png,0,丹麦,前锋
15,85kg,1,1.87m,0,12号,0,1997/10/6,15,多尔伯格,http://p1.img.cctvpic.com/sports/data/playerImageB/355562.png,0,丹麦,前锋
54.33,91kg,3,1.95m,0,21号,0,1993/3/16,163,科内柳斯,http://p1.img.cctvpic.com/sports/data/playerImageB/183483.png,0,丹麦,前锋
36,80kg,1,1.85m,0,7号,0,1985/2/24,36,奎斯特,http://p1.img.cctvpic.com/sports/data/playerImageB/8521.png,0,丹麦,中场
92,78kg,4,1.8m,1,8号,0,1991/9/3,368,德莱尼,http://p1.img.cctvpic.com/sports/data/playerImageB/66477.png,0,丹麦,中场
22,69kg,1,1.71m,0,2号,0,1983/6/6,22,克龙-德利,http://p1.img.cctvpic.com/sports/data/playerImageB/2565.png,0,丹麦,中场
0,85kg,0,1.86m,0,18号,0,1993/7/12,0,莱拉格,http://p1.img.cctvpic.com/sports/data/playerImageB/151470.png,0,丹麦,中场
97.5,81kg,4,1.9m,0,14号,0,1989/7/27,390,达尔斯高,http://p1.img.cctvpic.com/sports/data/playerImageB/47855.png,0,丹麦,后卫
73,80kg,3,1.78m,0,19号,0,1986/5/27,219,舍恩,http://p1.img.cctvpic.com/sports/data/playerImageB/10077.png,0,丹麦,中场
90,82kg,3,1.82m,0,17号,0,1991/2/21,270,斯特里格,http://p1.img.cctvpic.com/sports/data/playerImageB/44848.png,0,丹麦,后卫
97.5,76kg,4,1.81m,1,10号,1,1992/2/14,390,埃里克森,http://p1.img.cctvpic.com/sports/data/playerImageB/105734.png,0,丹麦,中场
97.5,84kg,4,1.91m,0,4号,0,1989/3/26,390,西蒙·凯尔,http://p1.img.cctvpic.com/sports/data/playerImageB/21535.png,0,丹麦,后卫
73,85kg,3,1.91m,0,13号,1,1990/4/23,219,赞卡·约根森,http://p1.img.cctvpic.com/sports/data/playerImageB/26404.png,0,丹麦,后卫
76.5,85kg,4,1.92m,0,6号,0,1996/4/10,306,克里斯滕森,http://p1.img.cctvpic.com/sports/data/playerImageB/186795.png,0,丹麦,后卫
0,98kg,0,2m,0,3号,0,1992/8/3,0,韦斯特高,http://p1.img.cctvpic.com/sports/data/playerImageB/120538.png,0,丹麦,后卫
0,90kg,0,1.95m,0,16号,0,1989/2/1,0,勒斯尔,http://p1.img.cctvpic.com/sports/data/playerImageB/37514.png,0,丹麦,守门员
120,82kg,1,1.87m,0,5号,0,1992/9/16,120,克努德森,http://p1.img.cctvpic.com/sports/data/playerImageB/109053.png,0,丹麦,后卫
97.5,92kg,4,1.9m,0,1号,0,1986/11/5,390,小施梅切尔,http://p1.img.cctvpic.com/sports/data/playerImageB/1076.png,0,丹麦,守门员
0,85kg,0,1.9m,0,22号,0,1992/8/4,0,伦诺,http://p1.img.cctvpic.com/sports/data/playerImageB/137692.png,0,丹麦,守门员
70,67kg,3,1.8m,1,11号,1,1989/5/31,210,罗伊斯,http://p1.img.cctvpic.com/sports/data/playerImageB/37092.png,0,德国,前锋
59,79kg,1,1.8m,0,21号,0,1990/10/24,59,京多安,http://p1.img.cctvpic.com/sports/data/playerImageB/45853.png,0,德国,中场
59,81kg,2,1.89m,0,6号,0,1987/4/4,118,赫迪拉,http://p1.img.cctvpic.com/sports/data/playerImageB/4726.png,0,德国,中场
88.67,75kg,3,1.81m,1,9号,0,1996/3/6,266,沃纳,http://p1.img.cctvpic.com/sports/data/playerImageB/232306.png,0,德国,前锋
31,74kg,1,1.79m,0,19号,0,1990/2/28,31,鲁迪,http://p1.img.cctvpic.com/sports/data/playerImageB/35680.png,0,德国,中场
6.33,82kg,3,1.83m,0,20号,0,1996/5/2,19,朱利安,http://p1.img.cctvpic.com/sports/data/playerImageB/226978.png,0,德国,中场
90,70kg,2,1.8m,0,10号,0,1988/10/15,180,厄齐尔,http://p1.img.cctvpic.com/sports/data/playerImageB/16176.png,0,德国,中场
63,76kg,1,1.89m,0,14号,0,1995/2/6,63,格雷茨卡,http://p1.img.cctvpic.com/sports/data/playerImageB/184661.png,0,德国,中场
67.5,74kg,2,1.85m,0,7号,0,1993/9/20,135,德拉克斯勒,http://p1.img.cctvpic.com/sports/data/playerImageB/142680.png,0,德国,中场
29.33,88kg,3,1.89m,0,23号,0,1985/7/10,88,戈麦斯,http://p1.img.cctvpic.com/sports/data/playerImageB/4732.png,0,德国,前锋
90,72kg,3,1.76m,0,18号,0,1995/2/8,270,基米希,http://p1.img.cctvpic.com/sports/data/playerImageB/259117.png,0,德国,后卫
86,90kg,2,1.92m,0,17号,0,1988/9/3,172,博阿滕,http://p1.img.cctvpic.com/sports/data/playerImageB/19382.png,0,德国,后卫
0,85kg,0,1.89m,0,4号,0,1994/1/19,0,金特尔,http://p1.img.cctvpic.com/sports/data/playerImageB/142259.png,0,德国,后卫
90,90kg,2,1.92m,0,5号,0,1988/12/16,180,胡梅尔斯,http://p1.img.cctvpic.com/sports/data/playerImageB/16632.png,0,德国,后卫
90,85kg,1,1.91m,0,16号,0,1993/3/3,90,吕迪格,http://p1.img.cctvpic.com/sports/data/playerImageB/142622.png,0,德国,后卫
90,89kg,1,1.95m,0,15号,0,1995/9/3,90,舒勒,http://p1.img.cctvpic.com/sports/data/playerImageB/168937.png,0,德国,后卫
90,92kg,3,1.93m,0,1号,0,1986/3/27,270,诺伊尔,http://p1.img.cctvpic.com/sports/data/playerImageB/8959.png,0,德国,守门员
0,88kg,0,1.89m,0,12号,0,1990/7/8,0,特拉普,http://p1.img.cctvpic.com/sports/data/playerImageB/38440.png,0,德国,守门员
82.5,75kg,2,1.85m,0,3号,0,1990/5/27,165,赫克托,http://p1.img.cctvpic.com/sports/data/playerImageB/124544.png,0,德国,后卫
79,76kg,1,1.81m,0,2号,0,1992/1/26,79,普拉滕哈特,http://p1.img.cctvpic.com/sports/data/playerImageB/108584.png,0,德国,后卫
0,85kg,0,1.87m,0,22号,0,1992/4/30,0,特尔施特根,http://p1.img.cctvpic.com/sports/data/playerImageB/88625.png,0,德国,守门员
69,75公斤,3,1.86米,0,13号,0,1989年9月13日,207,穆勒,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527838533297_257.jpg,1,德国,中场
90,78公斤,3,1.82米,0,8号,1,1990年1月4日,270,克罗斯,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527839073450_473.jpg,1,德国,中场
43.8,79kg,5,1.85m,0,10号,0,1990/2/9,219,斯莫洛夫,http://p1.img.cctvpic.com/sports/data/playerImageB/24601.png,0,俄罗斯,前锋
66.6,90kg,5,1.96m,2,22号,3,1988/8/22,333,久巴,http://p1.img.cctvpic.com/sports/data/playerImageB/19367.png,0,俄罗斯,前锋
44.5,79kg,2,1.91m,0,21号,0,1989/10/13,89,叶罗欣,http://p1.img.cctvpic.com/sports/data/playerImageB/55379.png,0,俄罗斯,中场
60.8,74kg,5,1.82m,0,7号,0,1993/1/15,304,库贾耶夫,http://p1.img.cctvpic.com/sports/data/playerImageB/335865.png,0,俄罗斯,中场
60,77kg,1,1.85m,0,15号,0,1995/10/17,60,阿列克谢·米兰丘克,http://p1.img.cctvpic.com/sports/data/playerImageB/324353.png,0,俄罗斯,中场
100.5,70kg,4,1.78m,2,17号,1,1996/5/30,402,戈洛温,http://p1.img.cctvpic.com/sports/data/playerImageB/318963.png,0,俄罗斯,中场
0,67kg,0,1.82m,0,16号,0,1995/10/17,0,安东.米兰丘克,http://p1.img.cctvpic.com/sports/data/playerImageB/358746.png,0,俄罗斯,中场
21,73kg,2,1.78m,1,9号,0,1990/6/17,42,扎戈耶夫,http://p1.img.cctvpic.com/sports/data/playerImageB/42208.png,0,俄罗斯,中场
60.8,68kg,5,1.73m,0,6号,4,1990/12/26,304,切里舍夫,http://p1.img.cctvpic.com/sports/data/playerImageB/167855.png,0,俄罗斯,中场
71.8,74kg,5,1.78m,0,19号,0,1984/7/19,359,萨梅多夫,http://p1.img.cctvpic.com/sports/data/playerImageB/13321.png,0,俄罗斯,中场
102,77kg,5,1.85m,1,11号,0,1994/2/11,510,佐布宁,http://p1.img.cctvpic.com/sports/data/playerImageB/138452.png,0,俄罗斯,中场
0,87kg,0,1.91m,0,5号,0,1989/3/24,0,谢苗诺夫,http://p1.img.cctvpic.com/sports/data/playerImageB/84767.png,0,俄罗斯,后卫
102,82kg,5,1.9m,1,3号,0,1993/7/29,510,库捷波夫,http://p1.img.cctvpic.com/sports/data/playerImageB/94759.png,0,俄罗斯,后卫
73.67,76kg,3,1.8m,0,18号,0,1983/8/20,221,日尔科夫,http://p1.img.cctvpic.com/sports/data/playerImageB/13309.png,0,俄罗斯,中场
66.5,75kg,4,1.8m,0,8号,1,1989/7/20,266,加津斯基,http://p1.img.cctvpic.com/sports/data/playerImageB/128033.png,0,俄罗斯,中场
36,72kg,1,1.79m,0,23号,0,1988/8/8,36,斯莫尔尼科夫,http://p1.img.cctvpic.com/sports/data/playerImageB/43284.png,0,俄罗斯,后卫
83.5,78kg,4,1.87m,0,13号,0,1987/4/5,334,库德里亚绍夫,http://p1.img.cctvpic.com/sports/data/playerImageB/24639.png,0,俄罗斯,后卫
102,84kg,5,1.86m,0,4号,0,1979/7/14,510,伊格纳舍维奇,http://p1.img.cctvpic.com/sports/data/playerImageB/13303.png,0,俄罗斯,后卫
94.4,79kg,5,1.87m,1,2号,1,1990/9/19,472,马里奥·费尔南德斯,http://p1.img.cctvpic.com/sports/data/playerImageB/146393.png,0,俄罗斯,后卫
0,80kg,0,1.89m,0,12号,0,1991/11/13,0,卢尼奥夫,http://p1.img.cctvpic.com/sports/data/playerImageB/120787.png,0,俄罗斯,守门员
102,83kg,5,1.85m,0,1号,0,1986/4/8,510,阿金费耶夫,http://p1.img.cctvpic.com/sports/data/playerImageB/13274.png,0,俄罗斯,守门员
0,81kg,0,1.9m,0,20号,0,1983/10/19,0,加布洛夫,http://p1.img.cctvpic.com/sports/data/playerImageB/13275.png,0,俄罗斯,守门员
75,80kg,1,1.84m,0,14号,0,1987/5/22,75,格拉纳特,http://p1.img.cctvpic.com/sports/data/playerImageB/24593.png,0,俄罗斯,后卫
81.57,72kg,7,1.74m,2,7号,4,1991/3/21,571,格列兹曼,http://p1.img.cctvpic.com/sports/data/playerImageB/85859.png,0,法国,前锋
76.29,78kg,7,1.78m,0,10号,4,1998/12/20,534,姆巴佩,http://p1.img.cctvpic.com/sports/data/playerImageB/796046.png,0,法国,前锋
78,91kg,7,1.93m,1,9号,0,1986/9/30,546,吉鲁,http://p1.img.cctvpic.com/sports/data/playerImageB/39070.png,0,法国,前锋
41.25,70kg,4,1.78m,0,11号,0,1997/5/15,165,登贝莱,http://p1.img.cctvpic.com/sports/data/playerImageB/361350.png,0,法国,前锋
13.6,76kg,5,1.73m,0,18号,0,1993/7/18,68,费基尔,http://p1.img.cctvpic.com/sports/data/playerImageB/337671.png,0,法国,前锋
90,65kg,1,1.72m,0,8号,0,1995/11/12,90,勒马尔,http://p1.img.cctvpic.com/sports/data/playerImageB/191182.png,0,法国,前锋
1,76kg,1,1.8m,0,20号,0,1993/1/26,1,托万,http://p1.img.cctvpic.com/sports/data/playerImageB/148824.png,0,法国,前锋
28.2,87kg,5,1.97m,0,15号,0,1988/12/15,141,恩宗济,http://p1.img.cctvpic.com/sports/data/playerImageB/51652.png,0,法国,中场
67.2,74kg,5,1.8m,0,14号,0,1987/4/9,336,马图伊迪,http://p1.img.cctvpic.com/sports/data/playerImageB/5846.png,0,法国,中场
38.8,82kg,5,1.8m,1,12号,0,1994/8/3,194,托里索,http://p1.img.cctvpic.com/sports/data/playerImageB/343067.png,0,法国,中场
85,70kg,7,1.68m,0,13号,0,1991/3/29,595,坎特,http://p1.img.cctvpic.com/sports/data/playerImageB/234148.png,0,法国,中场
90,84kg,6,1.83m,0,5号,1,1993/11/14,540,乌姆蒂蒂,http://p1.img.cctvpic.com/sports/data/playerImageB/96547.png,0,法国,后卫
84.29,76kg,7,1.83m,2,21号,0,1996/2/14,590,埃尔南德斯,http://p1.img.cctvpic.com/sports/data/playerImageB/352370.png,0,法国,后卫
40,84kg,1,1.83m,0,22号,0,1994/7/17,40,门迪,http://p1.img.cctvpic.com/sports/data/playerImageB/139225.png,0,法国,后卫
90,81kg,1,1.84m,0,19号,0,1992/7/29,90,西迪贝,http://p1.img.cctvpic.com/sports/data/playerImageB/123388.png,0,法国,后卫
90,76kg,6,1.86m,0,2号,1,1996/3/28,540,本杰明,http://p1.img.cctvpic.com/sports/data/playerImageB/792829.png,0,法国,后卫
90,78kg,1,1.82m,0,3号,0,1995/8/13,90,金彭贝,http://p1.img.cctvpic.com/sports/data/playerImageB/352916.png,0,法国,后卫
0,90kg,0,1.9m,0,17号,0,1985/12/27,0,拉米,http://p1.img.cctvpic.com/sports/data/playerImageB/24057.png,0,法国,后卫
90,79kg,7,1.91m,0,4号,1,1993/4/25,630,瓦拉内,http://p1.img.cctvpic.com/sports/data/playerImageB/138310.png,0,法国,后卫
0,95kg,0,1.95m,0,23号,0,1993/2/27,0,阿雷奥拉,http://p1.img.cctvpic.com/sports/data/playerImageB/96531.png,0,法国,守门员
90,82kg,6,1.88m,0,1号,0,1986/12/26,540,洛里斯,http://p1.img.cctvpic.com/sports/data/playerImageB/9048.png,0,法国,守门员
90,88kg,1,1.87m,0,16号,0,1985/3/28,90,曼丹达,http://p1.img.cctvpic.com/sports/data/playerImageB/27029.png,0,法国,守门员
89.83,86公斤,6,1.91米,0,6号,1,1993年3月15日,539,博格巴,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527838662432_589.jpg,1,法国,中场
70,73kg,1,1.71m,0,21号,0,1992/7/7,70,伊斯基耶多,http://p1.img.cctvpic.com/sports/data/playerImageB/358162.png,0,哥伦比亚,前锋
1,74kg,1,1.83m,0,19号,0,1993/1/26,1,博尔哈,http://p1.img.cctvpic.com/sports/data/playerImageB/329601.png,0,哥伦比亚,前锋
57.33,82kg,3,1.82m,0,6号,0,1986/2/6,172,桑切斯,http://p1.img.cctvpic.com/sports/data/playerImageB/26995.png,0,哥伦比亚,中场
30,77kg,3,1.81m,0,7号,0,1986/9/8,90,巴卡,http://p1.img.cctvpic.com/sports/data/playerImageB/106572.png,0,哥伦比亚,前锋
45.5,79kg,2,1.78m,0,14号,0,1991/4/16,91,穆列尔,http://p1.img.cctvpic.com/sports/data/playerImageB/119242.png,0,哥伦比亚,前锋
89.67,74kg,3,1.78m,0,5号,0,1993/10/16,269,巴里奥斯,http://p1.img.cctvpic.com/sports/data/playerImageB/309652.png,0,哥伦比亚,中场
94.25,72kg,4,1.77m,0,9号,1,1986/2/10,377,法尔考,http://p1.img.cctvpic.com/sports/data/playerImageB/25682.png,0,哥伦比亚,前锋
82.75,72kg,4,1.79m,1,11号,1,1988/5/26,331,夸德拉多,http://p1.img.cctvpic.com/sports/data/playerImageB/47743.png,0,哥伦比亚,中场
44,70kg,4,1.79m,0,16号,0,1994/10/25,176,莱尔马,http://p1.img.cctvpic.com/sports/data/playerImageB/355796.png,0,哥伦比亚,中场
60.67,71kg,3,1.82m,0,15号,0,1991/3/21,182,乌里韦,http://p1.img.cctvpic.com/sports/data/playerImageB/247773.png,0,哥伦比亚,中场
77.5,64kg,4,1.69m,2,20号,1,1993/1/18,310,金特罗,http://p1.img.cctvpic.com/sports/data/playerImageB/221162.png,0,哥伦比亚,中场
97.5,81kg,4,1.87m,0,23号,0,1996/6/12,390,D·桑切斯,http://p1.img.cctvpic.com/sports/data/playerImageB/566102.png,0,哥伦比亚,后卫
32,82kg,1,1.85m,0,8号,0,1985/1/6,32,阿吉拉尔,http://p1.img.cctvpic.com/sports/data/playerImageB/12650.png,0,哥伦比亚,中场
100,95kg,3,1.94m,0,13号,3,1994/9/23,300,米纳,http://p1.img.cctvpic.com/sports/data/playerImageB/354376.png,0,哥伦比亚,后卫
96.5,71kg,4,1.77m,0,4号,0,1992/1/13,386,阿里亚斯,http://p1.img.cctvpic.com/sports/data/playerImageB/158583.png,0,哥伦比亚,后卫
0,80kg,0,1.8m,0,22号,0,1985/6/1,0,库阿德拉多,http://p1.img.cctvpic.com/sports/data/playerImageB/358142.png,0,哥伦比亚,守门员
97.5,80kg,4,1.83m,0,1号,0,1988/8/31,390,奥斯皮纳,http://p1.img.cctvpic.com/sports/data/playerImageB/33596.png,0,哥伦比亚,守门员
90,80kg,1,1.84m,0,3号,0,1988/4/18,90,穆里略,http://p1.img.cctvpic.com/sports/data/playerImageB/111224.png,0,哥伦比亚,后卫
4,82kg,1,1.87m,0,2号,0,1986/9/30,4,萨帕塔,http://p1.img.cctvpic.com/sports/data/playerImageB/12673.png,0,哥伦比亚,后卫
0,72kg,0,1.72m,0,18号,0,1991/2/22,0,法布拉,http://p1.img.cctvpic.com/sports/data/playerImageB/247741.png,0,哥伦比亚,后卫
97.5,66kg,4,1.85m,0,17号,0,1992/8/21,390,莫希卡,http://p1.img.cctvpic.com/sports/data/playerImageB/344847.png,0,哥伦比亚,后卫
0,80kg,0,1.85m,0,12号,0,1989/3/9,0,巴尔加斯,http://p1.img.cctvpic.com/sports/data/playerImageB/125787.png,0,哥伦比亚,守门员
50.67,75公斤,3,1.8米,2,10号,0,1991年7月12日,152,J罗,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527838518481_848.jpg,1,哥伦比亚,中场
57,71kg,2,1.78m,1,12号,0,1992/6/26,114,乔尔·坎贝尔,http://p1.img.cctvpic.com/sports/data/playerImageB/154508.png,0,哥斯达黎加,前锋
75,76kg,2,1.83m,0,11号,0,1988/11/27,150,贝内加斯,http://p1.img.cctvpic.com/sports/data/playerImageB/345343.png,0,哥斯达黎加,前锋
60,70kg,2,1.81m,0,21号,0,1990/3/5,120,乌雷尼亚,http://p1.img.cctvpic.com/sports/data/playerImageB/117798.png,0,哥斯达黎加,前锋
90,73kg,3,1.87m,0,10号,0,1985/8/18,270,鲁伊斯,http://p1.img.cctvpic.com/sports/data/playerImageB/21768.png,0,哥斯达黎加,中场
0,82kg,0,1.83m,0,14号,0,1984/12/30,0,阿佐菲法,http://p1.img.cctvpic.com/sports/data/playerImageB/13869.png,0,哥斯达黎加,中场
49,75kg,2,1.8m,0,9号,0,1985/1/10,98,科林德雷斯,http://p1.img.cctvpic.com/sports/data/playerImageB/284249.png,0,哥斯达黎加,中场
82,78kg,3,1.76m,0,20号,0,1990/2/18,246,古斯曼,http://p1.img.cctvpic.com/sports/data/playerImageB/117855.png,0,哥斯达黎加,中场
7,67kg,1,1.79m,0,17号,0,1992/3/17,7,特赫达,http://p1.img.cctvpic.com/sports/data/playerImageB/158753.png,0,哥斯达黎加,中场
90,79kg,3,1.87m,0,5号,0,1988/5/27,270,博格斯,http://p1.img.cctvpic.com/sports/data/playerImageB/50605.png,0,哥斯达黎加,中场
9,70kg,1,1.8m,0,13号,0,1988/6/17,9,华莱士,http://p1.img.cctvpic.com/sports/data/playerImageB/48111.png,0,哥斯达黎加,中场
33,67kg,2,1.78m,0,7号,0,1984/5/17,66,博拉诺斯,http://p1.img.cctvpic.com/sports/data/playerImageB/11381.png,0,哥斯达黎加,中场
0,70kg,0,1.75m,0,22号,0,1994/7/9,0,马塔里塔,http://p1.img.cctvpic.com/sports/data/playerImageB/345339.png,0,哥斯达黎加,后卫
90,87kg,1,1.96m,0,19号,1,1988/1/1,90,沃斯顿,http://p1.img.cctvpic.com/sports/data/playerImageB/320209.png,0,哥斯达黎加,后卫
0,68kg,0,1.77m,0,4号,0,1998/3/6,0,史密斯,http://p1.img.cctvpic.com/sports/data/playerImageB/810328.png,0,哥斯达黎加,后卫
90,81kg,2,1.86m,0,6号,0,1989/6/3,180,杜阿尔特,http://p1.img.cctvpic.com/sports/data/playerImageB/156401.png,0,哥斯达黎加,后卫
52.5,78kg,2,1.8m,0,15号,0,1992/7/8,105,卡尔沃,http://p1.img.cctvpic.com/sports/data/playerImageB/156400.png,0,哥斯达黎加,后卫
90,75kg,3,1.76m,0,2号,0,1983/7/21,270,阿科斯塔,http://p1.img.cctvpic.com/sports/data/playerImageB/154513.png,0,哥斯达黎加,后卫
85,67kg,3,1.75m,0,16号,0,1989/10/24,255,甘博亚,http://p1.img.cctvpic.com/sports/data/playerImageB/117794.png,0,哥斯达黎加,后卫
90,78kg,3,1.86m,0,3号,0,1988/2/8,270,G·冈萨雷斯,http://p1.img.cctvpic.com/sports/data/playerImageB/117793.png,0,哥斯达黎加,后卫
0,72kg,0,1.78m,0,18号,0,1982/4/24,0,佩姆伯顿,http://p1.img.cctvpic.com/sports/data/playerImageB/256119.png,0,哥斯达黎加,守门员
90,70kg,2,1.72m,0,8号,0,1990/2/18,180,奥维多,http://p1.img.cctvpic.com/sports/data/playerImageB/109064.png,0,哥斯达黎加,后卫
90,80kg,3,1.85m,0,1号,0,1986/12/15,270,纳瓦斯,http://p1.img.cctvpic.com/sports/data/playerImageB/56113.png,0,哥斯达黎加,守门员
0,70kg,0,1.79m,0,23号,0,1990/4/2,0,莫雷拉,http://p1.img.cctvpic.com/sports/data/playerImageB/156399.png,0,哥斯达黎加,守门员
67,97kg,1,1.97m,0,9号,0,1988/4/14,67,金信旭,http://p1.img.cctvpic.com/sports/data/playerImageB/144580.png,0,韩国,前锋
67.67,77kg,3,1.77m,0,11号,0,1996/1/26,203,黄喜灿,http://p1.img.cctvpic.com/sports/data/playerImageB/754008.png,0,韩国,前锋
42.5,70kg,2,1.76m,1,8号,0,1990/10/30,85,朱世钟,http://p1.img.cctvpic.com/sports/data/playerImageB/851180.png,0,韩国,中场
90,75kg,2,1.86m,0,16号,0,1989/1/24,180,寄诚庸,http://p1.img.cctvpic.com/sports/data/playerImageB/38642.png,0,韩国,中场
73,68kg,2,1.72m,0,18号,0,1992/6/9,146,文世民,http://p1.img.cctvpic.com/sports/data/playerImageB/307514.png,0,韩国,中场
90,70kg,3,1.8m,1,17号,0,1992/8/10,270,李宰成,http://p1.img.cctvpic.com/sports/data/playerImageB/537552.png,0,韩国,中场
22,63kg,2,1.7m,0,10号,0,1998/1/6,44,李昇祐,http://p1.img.cctvpic.com/sports/data/playerImageB/773497.png,0,韩国,中场
42,78kg,3,1.86m,0,15号,0,1989/12/14,126,郑又荣,http://p1.img.cctvpic.com/sports/data/playerImageB/147128.png,0,韩国,中场
0,74kg,0,1.88m,0,3号,0,1994/4/3,0,郑升炫,http://p1.img.cctvpic.com/sports/data/playerImageB/947318.png,0,韩国,后卫
48,67kg,2,1.76m,0,14号,0,1990/9/17,96,洪哲,http://p1.img.cctvpic.com/sports/data/playerImageB/143216.png,0,韩国,后卫
90,77kg,3,1.87m,0,20号,0,1991/9/28,270,张贤秀,http://p1.img.cctvpic.com/sports/data/playerImageB/160875.png,0,韩国,后卫
90,74kg,3,1.8m,0,2号,0,1986/12/24,270,李勇,http://p1.img.cctvpic.com/sports/data/playerImageB/235676.png,0,韩国,后卫
29,71kg,1,1.74m,0,6号,0,1987/1/16,29,朴柱昊,http://p1.img.cctvpic.com/sports/data/playerImageB/48241.png,0,韩国,后卫
64,73kg,2,1.82m,0,13号,0,1989/2/27,128,具滋哲,http://p1.img.cctvpic.com/sports/data/playerImageB/105173.png,0,韩国,中场
0,79kg,0,1.89m,0,4号,0,1988/5/20,0,吴半石,http://p1.img.cctvpic.com/sports/data/playerImageB/1104823.png,0,韩国,后卫
72.5,69kg,2,1.72m,0,12号,0,1990/2/25,145,金民友,http://p1.img.cctvpic.com/sports/data/playerImageB/116099.png,0,韩国,后卫
0,82kg,0,1.93m,0,21号,0,1987/7/6,0,金镇铉,http://p1.img.cctvpic.com/sports/data/playerImageB/48353.png,0,韩国,守门员
90,75kg,3,1.89m,0,23号,0,1991/9/25,270,赵贤祐,http://p1.img.cctvpic.com/sports/data/playerImageB/994365.png,0,韩国,守门员
90,74kg,3,1.84m,0,19号,1,1990/2/27,270,金英权,http://p1.img.cctvpic.com/sports/data/playerImageB/109232.png,0,韩国,后卫
90,78kg,1,1.85m,0,5号,0,1988/10/4,90,尹英善,http://p1.img.cctvpic.com/sports/data/playerImageB/143203.png,0,韩国,后卫
0,80kg,0,1.87m,0,1号,0,1990/9/30,0,金承奎,http://p1.img.cctvpic.com/sports/data/playerImageB/235686.png,0,韩国,守门员
11,65kg,1,1.7m,0,22号,0,1988/3/10,11,高尧韩,http://p1.img.cctvpic.com/sports/data/playerImageB/267785.png,0,韩国,后卫
90,76公斤,3,1.83米,0,7号,2,1992年7月8日,270,孙兴慜,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527839091228_910.jpg,1,韩国,前锋
90.29,81kg,7,1.86m,1,4号,3,1989/2/2,632,佩里希奇,http://p1.img.cctvpic.com/sports/data/playerImageB/38710.png,0,克罗地亚,前锋
27.33,83kg,3,1.86m,0,20号,0,1995/5/6,82,皮亚察,http://p1.img.cctvpic.com/sports/data/playerImageB/190435.png,0,克罗地亚,前锋
47.43,73kg,7,1.77m,0,9号,1,1991/6/19,332,克拉马里奇,http://p1.img.cctvpic.com/sports/data/playerImageB/67647.png,0,克罗地亚,前锋
0,81kg,0,1.87m,0,16号,0,1988/1/5,0,卡利尼奇,http://p1.img.cctvpic.com/sports/data/playerImageB/31273.png,0,克罗地亚,前锋
